time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-19T00:45:34.334Z,-29.3841,-176.2244,10,5.3,mb,60,42,1.486,0.55,us,us6000lghi,2023-10-19T01:03:21.040Z,"Kermadec Islands region",earthquake,9.71,1.836,0.051,130,reviewed,us,us
2023-10-18T22:15:04.525Z,30.91,141.4487,10,5.1,mww,89,97,2.601,0.88,us,us6000lggz,2023-10-18T22:32:28.040Z,"Izu Islands, Japan region",earthquake,9.56,1.848,0.069,20,reviewed,us,us
2023-10-18T19:56:56.438Z,-6.254,-107.0228,10,4.7,mb,33,165,25.096,0.68,us,us6000lgfy,2023-10-18T20:27:26.040Z,"central East Pacific Rise",earthquake,9.23,1.934,0.068,65,reviewed,us,us
2023-10-18T16:49:31.657Z,-11.7451,166.4688,161.606,4.9,mb,62,74,6.808,0.6,us,us6000lgel,2023-10-18T17:05:57.040Z,"134 km SSE of Lata, Solomon Islands",earthquake,10.73,7.449,0.071,62,reviewed,us,us
2023-10-18T14:50:43.985Z,-55.2997,158.7696,10,4.7,mb,13,157,0.809,0.97,us,us6000lgd4,2023-10-21T15:54:52.122Z,"Macquarie Island region",earthquake,9.28,1.96,0.165,11,reviewed,us,us
2023-10-18T13:30:39.862Z,-19.38,-172.8286,10,4.9,mb,37,74,2.758,1.19,us,us6000lgcs,2023-10-18T15:06:11.040Z,"145 km ESE of Neiafu, Tonga",earthquake,10.86,1.867,0.093,39,reviewed,us,us
2023-10-18T11:24:12.549Z,-19.9469,-174.8907,81.057,4.5,mb,32,115,1.251,0.74,us,us6000lgcd,2023-10-19T06:04:18.040Z,"58 km WSW of Pangai, Tonga",earthquake,11.64,6.136,0.109,25,reviewed,us,us
2023-10-18T10:29:29.719Z,-55.3107,-128.4661,10,5.5,mww,54,103,30.304,0.48,us,us6000lgca,2023-10-19T10:33:38.061Z,"Pacific-Antarctic Ridge",earthquake,14.25,1.902,0.086,13,reviewed,us,us
2023-10-18T08:11:28.828Z,13.3849,146.2326,10,5.2,mb,70,61,1.343,0.9,us,us6000lgbq,2023-10-22T08:21:37.950Z,"146 km E of Yigo Village, Guam",earthquake,7.23,1.768,0.065,78,reviewed,us,us
2023-10-18T07:49:23.604Z,-4.3995,153.4218,115.341,4.9,mb,53,152,1.272,0.66,us,us6000lgbk,2023-10-18T08:12:18.040Z,"128 km E of Kokopo, Papua New Guinea",earthquake,10.91,6.482,0.062,80,reviewed,us,us
2023-10-17T22:56:01.230Z,44.1011,147.2313,111.747,4.5,mb,60,136,3.341,0.53,us,us6000lg8s,2023-10-17T23:33:08.040Z,"52 km NE of Shikotan, Russia",earthquake,11.05,8.062,0.081,44,reviewed,us,us
2023-10-17T22:38:44.561Z,-28.925,-177.0128,47.389,4.5,mb,17,153,0.862,0.76,us,us6000lgyp,2023-10-20T21:32:20.040Z,"Kermadec Islands region",earthquake,9.13,8.17,0.157,12,reviewed,us,us
2023-10-17T22:31:58.189Z,-29.2622,-177.6034,70.452,4.7,mb,20,158,0.277,0.7,us,us6000lgys,2023-10-22T08:16:17.784Z,"Kermadec Islands, New Zealand",earthquake,15.15,7.444,0.137,16,reviewed,us,us
2023-10-17T21:52:16.026Z,-29.1866,-176.1218,10,5.2,mb,53,57,1.574,1.07,us,us6000lg8g,2023-10-17T22:15:20.040Z,"Kermadec Islands region",earthquake,10.76,1.806,0.051,126,reviewed,us,us
2023-10-17T20:52:37.854Z,-30.3027,-72.0849,15.007,4.7,mb,48,149,0.827,0.9,us,us6000lg7y,2023-10-17T22:00:39.040Z,"81 km WSW of Coquimbo, Chile",earthquake,4.83,5.11,0.123,23,reviewed,us,us
2023-10-17T19:17:35.270Z,37.1009,62.3669,10,4.6,mb,66,95,5.143,0.45,us,us6000lg7a,2023-10-17T22:00:20.040Z,"Turkmenistan",earthquake,9.29,1.904,0.068,64,reviewed,us,us
2023-10-17T16:26:49.702Z,27.7307,56.1175,10,5.3,mww,147,45,2.775,0.69,us,us6000lg6k,2023-10-23T16:34:08.336Z,"62 km NNW of Bandar Abbas, Iran",earthquake,7.37,1.769,0.089,12,reviewed,us,us
2023-10-17T13:40:31.535Z,-22.1584,170.7372,10,5.6,mww,64,76,3.079,0.64,us,us6000lg4y,2023-10-22T20:53:01.677Z,"southeast of the Loyalty Islands",earthquake,7.95,1.819,0.053,34,reviewed,us,us
2023-10-17T08:22:11.744Z,27.6888,56.0903,10,5.3,mb,96,45,2.734,0.87,us,us6000lg3n,2023-10-17T12:04:36.656Z,"58 km NNW of Bandar Abbas, Iran",earthquake,7.75,1.846,0.047,152,reviewed,us,us
2023-10-17T05:10:03.319Z,27.7363,56.1369,10,5.5,mww,109,38,2.78,0.74,us,us6000lg2t,2023-10-18T05:18:15.138Z,"62 km NNW of Bandar Abbas, Iran",earthquake,7.64,1.83,0.073,18,reviewed,us,us
2023-10-17T04:59:22.660Z,27.7249,56.1166,10,5.1,mww,117,34,2.769,0.83,us,us6000lg2q,2023-10-17T23:45:30.732Z,"southern Iran",earthquake,6.42,1.793,0.08,15,reviewed,us,us
2023-10-17T02:35:16.810Z,-36.0791,-69.9186,171.223,4.6,mb,54,52,1.239,0.73,us,us6000lg23,2023-10-17T23:34:21.040Z,"82 km N of Barrancas, Argentina",earthquake,4.25,6.969,0.046,140,reviewed,us,us
2023-10-16T22:24:54.131Z,17.9424,147.5323,10,4.5,mb,27,165,3.168,0.46,us,us6000lg18,2023-10-16T22:47:05.040Z,"Mariana Islands region",earthquake,7.7,1.853,0.121,20,reviewed,us,us
2023-10-16T18:33:19.408Z,-24.5161,-67.0149,167.974,5,mww,88,43,1.888,1.02,us,us6000lfyf,2023-10-21T20:55:46.040Z,"77 km WSW of San Antonio de los Cobres, Argentina",earthquake,8.12,4.302,0.066,22,reviewed,us,us
2023-10-16T15:06:44.455Z,-41.6548,85.0617,10,4.7,mb,34,66,6.941,0.62,us,us6000lfxq,2023-10-22T19:58:17.040Z,"southeast Indian Ridge",earthquake,11.78,1.837,0.117,22,reviewed,us,us
2023-10-16T13:53:47.341Z,25.1572,125.5391,10,4.6,mb,41,86,1.416,0.82,us,us6000lgx9,2023-10-22T17:54:46.040Z,"45 km NNE of Hirara, Japan",earthquake,7.12,1.879,0.123,20,reviewed,us,us
2023-10-16T13:30:48.196Z,25.1128,125.5035,9.536,4.9,mb,53,130,1.365,0.71,us,us6000lfx6,2023-10-22T17:30:37.040Z,"southwestern Ryukyu Islands, Japan",earthquake,8.17,4.609,0.09,39,reviewed,us,us
2023-10-16T11:35:31.726Z,52.4445,-176.8502,187.371,6.4,mww,54,44,0.572,1.17,us,us6000lfvn,2023-10-22T11:45:36.207Z,"65 km NNW of Adak, Alaska",earthquake,7.87,7.08,0.039,62,reviewed,us,us
2023-10-16T10:42:12.858Z,25.1583,125.5423,27.852,5.7,mww,99,32,1.419,1.09,us,us6000lfvj,2023-10-16T12:20:44.040Z,"46 km NNE of Hirara, Japan",earthquake,6.65,4.686,0.047,44,reviewed,us,us
2023-10-16T10:20:49.740Z,40.3156667,-124.0548333,31.06,4.83,mw,45,52,0.0472,0.12,nc,nc73947830,2023-10-19T07:10:02.340Z,"20 km E of Petrolia, CA",earthquake,0.27,0.59,,4,reviewed,nc,nc
2023-10-16T10:05:48.805Z,-25.154,70.0503,10,4.7,mb,28,180,13.745,0.34,us,us6000lfvg,2023-10-16T11:07:08.040Z,"Mid-Indian Ridge",earthquake,14.08,1.963,0.118,22,reviewed,us,us
2023-10-16T08:46:10.513Z,-15.7822,-179.6318,10,5.2,mww,43,101,2.954,0.9,us,us6000lfv4,2023-10-16T22:31:27.419Z,"129 km NE of Labasa, Fiji",earthquake,5.84,1.869,0.098,10,reviewed,us,us
2023-10-16T06:48:35.622Z,53.4071,160.2603,61.853,5.2,mww,149,104,1.042,0.63,us,us6000lfum,2023-10-16T14:44:19.412Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake,7.23,5.611,0.093,11,reviewed,us,us
2023-10-16T06:33:50.763Z,-28.004,-176.4717,10,4.9,mb,47,69,1.787,0.63,us,us6000lfur,2023-10-16T07:57:47.040Z,"Kermadec Islands region",earthquake,10.42,1.873,0.08,49,reviewed,us,us
2023-10-16T03:13:54.744Z,50.751,-129.8925,10,4.9,mb,72,150,1.124,0.63,us,us6000lftw,2023-10-17T02:08:35.040Z,"199 km W of Port McNeill, Canada",earthquake,7.33,1.902,0.03,354,reviewed,us,us
2023-10-15T22:44:40.716Z,12.3015,-88.5108,46.097,4.9,mb,55,151,1.175,0.85,us,us6000lfsv,2023-10-15T23:02:48.040Z,"108 km S of Puerto El Triunfo, El Salvador",earthquake,2.36,8.945,0.038,217,reviewed,us,us
2023-10-15T16:25:41.147Z,-31.5926,-177.9056,10,4.8,mb,24,90,2.323,0.93,us,us6000lfr7,2023-10-15T16:48:13.040Z,"Kermadec Islands region",earthquake,6.4,1.868,0.119,24,reviewed,us,us
2023-10-15T15:24:42.029Z,-8.122,118.1147,10,4.7,mb,27,89,0.777,0.44,us,us6000lfr1,2023-10-15T15:50:21.040Z,"59 km NW of Dompu, Indonesia",earthquake,5.18,1.919,0.133,17,reviewed,us,us
2023-10-15T11:15:37.551Z,31.1027,49.5001,10,5.3,mww,103,48,5.383,0.8,us,us6000lfq9,2023-10-15T21:52:04.854Z,"21 km SSW of Rāmhormoz, Iran",earthquake,7.52,1.843,0.065,23,reviewed,us,us
2023-10-15T09:13:26.094Z,33.8272,141.7428,16.108,5.2,mww,53,132,1.762,0.68,us,us6000lfpt,2023-10-15T09:42:35.157Z,"196 km SE of Katsuura, Japan",earthquake,7.22,4.744,0.075,17,reviewed,us,us
2023-10-15T08:58:34.359Z,-58.9515,-25.4244,35,4.8,mb,42,163,7.685,0.51,us,us6000lfpq,2023-10-15T09:21:37.040Z,"South Sandwich Islands region",earthquake,14.3,1.949,0.084,47,reviewed,us,us
2023-10-15T06:49:38.632Z,10.86,-62.1783,112.889,4.5,mb,80,126,3.423,0.54,us,us6000lfp6,2023-10-16T02:14:48.720Z,"33 km NNE of Güiria, Venezuela",earthquake,10.7,12.786,0.056,93,reviewed,us,us
2023-10-15T03:56:28.863Z,34.5926,62.1483,10,5.4,mww,116,22,5.689,1,us,us6000lfng,2023-10-16T04:03:35.566Z,"27 km N of Herāt, Afghanistan",earthquake,7.23,1.79,0.093,11,reviewed,us,us
